Output,MAE,RMSE,R2,MAPE
Cap_eff(%)_o,0.5747267988152659,0.9547693182703398,0.9972989883336302,0.8512158843306368
Rich_loading(mol/mol)_o,0.0006096218994807429,0.0012001223063231924,0.999046353130536,0.13365791393560156
RA_temp_after_abs_o,0.21553722430426497,0.5018915462078806,0.9951695918485567,0.5603910927698679
SRD(MJ/kgco2)_o,0.035617458087343144,0.0811263236920986,0.995549882011805,0.8051316804030756
SCD(MJ/kgco2)_o,0.027456152732963236,0.0622788899820816,0.9965414961163009,1.5017410731939815
Co2_purity(%mol)_o,5.35149001657295e-05,0.00019368045059573705,0.9427466377581076,0.005440216117019259
SLAD(MJ/kgco2)_o,0.020902336767849045,0.059529838444057744,0.9943369273814113,6.927520430402311
