Abs_ht(m),FG_temp(C),LA_temp(C),FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_temp(C)_i,RA_to_Reg_temp_i,L/G (kg/kg)_i,Lean_loading(mol/mol)_i,HE_left_min_apprch_i,Abs_ht(m)_i,Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_temp_after_abs_o,SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,SLAD(MJ/kgco2)_o
12,30,30,8.0%,30,30,103.3,2.13,0.212,10,12,90,0.468,41.1,4.29,1.53,0.99,1.41
12,30,40,8.0%,30,40,104.0,2.07,0.210,10,12,90,0.467,41.6,4.28,1.57,0.99,0.75
12,50,30,8.0%,50,30,105.3,2.05,0.212,10,12,90,0.461,45.0,4.32,1.63,0.99,1.61
12,50,40,8.0%,50,40,107.6,1.96,0.209,10,12,90,0.459,45.4,4.31,1.75,0.99,0.96
24,30,30,8.0%,30,30,108.5,2.15,0.287,10,24,90,0.490,39.4,3.56,1.32,0.99,1.26
24,30,40,8.0%,30,40,108.5,2.11,0.283,10,24,90,0.490,39.2,3.57,1.33,0.99,0.56
24,50,30,8.0%,50,30,108.5,2.18,0.286,10,24,90,0.488,41.8,3.59,1.33,0.99,1.44
24,50,40,8.0%,50,40,108.5,2.12,0.281,10,24,90,0.488,41.5,3.60,1.34,0.99,0.73
