Abs_ht(m),FG_temp(C),LA_temp(C),FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_temp(C)_i,RA_to_Reg_temp_i,L/G (kg/kg)_i,Lean_loading(mol/mol)_i,HE_left_min_apprch_i,Abs_ht(m)_i,Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_temp_after_abs_o,SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,SLAD(MJ/kgco2)_o
12,30,30,3.6%,30,30,101.00,1.16,0.194,10,12,90,0.470,29.99,4.27,1.38,0.986,0.81
12,30,40,3.6%,30,40,101.20,1.16,0.194,10,12,90,0.470,30.03,4.27,1.38,0.986,0.13
12,50,30,3.6%,50,30,101.00,1.16,0.196,10,12,90,0.466,36.27,4.31,1.39,0.986,1.21
12,50,40,3.6%,50,40,101.62,1.15,0.196,10,12,90,0.466,36.39,4.31,1.41,0.986,0.50
24,30,30,3.6%,30,30,108.50,1.01,0.301,10,24,90,0.484,33.84,3.58,1.34,0.985,0.86
24,30,40,3.6%,30,40,108.50,0.99,0.297,10,24,90,0.484,33.79,3.59,1.36,0.985,0.13
24,50,30,3.6%,50,30,108.50,1.05,0.298,10,24,90,0.481,37.22,3.63,1.36,0.985,1.15
24,50,40,3.6%,50,40,108.50,1.03,0.294,10,24,90,0.481,37.29,3.64,1.37,0.985,0.42
