CO2_concentration,Cap_eff(%),HE_left_min_apprch,FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_temp(C)_i,RA_to_Reg_temp_i,L/G (kg/kg)_i,Lean_loading(mol/mol)_i,HE_left_min_apprch_i,Abs_ht(m)_i,Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_temp_after_abs_o,SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,SLAD(MJ/kgco2)_o
0.036,85.0,5.0,0.036,35.0,35.0,108.49999984476946,1.2665924314483479,0.34482553913765934,5.0,24.0,85.0,0.48232127711894907,36.07858391784772,3.380414739046968,1.3734449360028238,0.984097627967622,0.4791117408989273
0.036,85.0,6.0,0.036,35.0,35.0,108.49999983988124,1.2459134451529474,0.34320595268054926,6.0,24.0,85.0,0.4825925730223319,36.044055552891365,3.408969981232081,1.3599790945050383,0.9841357047054939,0.5479315712046683
0.036,85.0,7.0,0.036,35.0,35.0,108.49999989587815,1.2245465656378047,0.34143818845619517,7.0,24.0,85.0,0.48288681726621296,36.0074065329567,3.4373157232300096,1.3468386929036573,0.9841777096337798,0.6136897955502845
0.036,85.0,8.0,0.036,35.0,35.0,108.49999984274572,1.2023692997102493,0.33950487730486556,8.0,24.0,85.0,0.48320319512897975,35.96836650041704,3.4653532253978585,1.3340421489360603,0.9842236517666645,0.6760038705025159
0.036,85.0,9.0,0.036,35.0,35.0,108.49999984349174,1.1793361723388,0.33739216199779887,9.0,24.0,85.0,0.48354000921975543,35.926873232279036,3.4929825316407332,1.3215859883868695,0.9842733862103368,0.7345929672874477
0.036,85.0,10.0,0.036,35.0,35.0,108.4999998978668,1.155480557124222,0.3350910257859554,10.0,24.0,85.0,0.483894651058541,35.883134987627756,3.5201049629735586,1.3094447560899003,0.9843266135373265,0.789293687703982
0.036,85.0,11.0,0.036,35.0,35.0,108.49999989781374,1.1309048789727147,0.33259770301246444,11.0,24.0,85.0,0.4842637348552805,35.83762786165465,3.5466259972374443,1.297574105244578,0.9843829007562864,0.8400606289659425
0.036,85.0,12.0,0.036,35.0,35.0,108.49999989777463,1.1057598965744944,0.32991302417062973,12.0,24.0,85.0,0.48464335569161276,35.79103054085593,3.5724581852699537,1.2859172014322704,0.9844417215327069,0.8869511513916265
0.036,85.0,13.0,0.036,35.0,35.0,108.49999989732237,1.0802185217656886,0.32704094597107314,13.0,24.0,85.0,0.48502938595059214,35.744121113549475,3.597523682616826,1.2744134530919522,0.9845025053196026,0.9300992116223469
0.036,85.0,14.0,0.036,35.0,35.0,108.49999984134485,1.0544520303370235,0.3239868736334449,14.0,24.0,85.0,0.48541771534898814,35.6976741660913,3.6217560211121125,1.263007831259129,0.9845646812159409,0.969686869773786
