CO2_concentration,Cap_eff(%),HE_left_min_apprch,FG_co2_cons(mol_ratio)_i,FG_temp(C)_i,LA_temp(C)_i,RA_to_Reg_temp_i,L/G (kg/kg)_i,Lean_loading(mol/mol)_i,HE_left_min_apprch_i,Abs_ht(m)_i,Cap_eff(%)_o,Rich_loading(mol/mol)_o,RA_temp_after_abs_o,SRD(MJ/kgco2)_o,SCD(MJ/kgco2)_o,Co2_purity(%mol)_o,SLAD(MJ/kgco2)_o
0.08,85.0,5.0,0.08,35.0,35.0,108.49999983152473,2.7871412880311524,0.34045594847048566,5.0,24.0,85.0,0.4861603782529834,42.7157940430048,3.349836859811732,1.3526446469450983,0.9845957191048199,1.1756772404477696
0.08,85.0,6.0,0.08,35.0,35.0,108.4999998861591,2.6772971372328658,0.3361401952948491,6.0,24.0,85.0,0.487215462755609,42.22879744910124,3.3842260293120967,1.3380884660131387,0.9846711305448765,1.1721365993830961
0.08,85.0,7.0,0.08,35.0,35.0,108.49999982383913,2.5742687091821135,0.3315710138146957,7.0,24.0,85.0,0.48816582255578767,41.77371835157018,3.417421826455229,1.3241294733370357,0.9847448980651918,1.170191753217951
0.08,85.0,8.0,0.08,35.0,35.0,108.49999988293682,2.480935326470482,0.3269720166511845,8.0,24.0,85.0,0.488990339702273,41.36578866486313,3.4493589294427074,1.310404227479422,0.9848145478648572,1.1723803248013087
0.08,85.0,9.0,0.08,35.0,35.0,108.4999998147101,2.396539384204643,0.32241316299868705,9.0,24.0,85.0,0.489705120779727,41.001594568498035,3.480003689022159,1.2967439181078908,0.9848799887190366,1.1782175325796358
0.08,85.0,10.0,0.08,35.0,35.0,108.49999981467523,2.3194123029329146,0.3178885121361447,10.0,24.0,85.0,0.4903323405206715,40.6729479561294,3.5093318897529278,1.2831192842670553,0.9849418591255451,1.1864293340293368
0.08,85.0,11.0,0.08,35.0,35.0,108.49999998514294,2.248107570594874,0.3133739031522342,11.0,24.0,85.0,0.49088938791936254,40.372687019263076,3.5373249110258422,1.269568667754825,0.9850007483952298,1.195913359256486
0.08,85.0,12.0,0.08,35.0,35.0,108.49999986498392,2.1816202572472836,0.30885110231163765,12.0,24.0,85.0,0.49138788687183527,40.095832592229705,3.56397193774771,1.2561610249210786,0.9850570035934975,1.2059428867020556
0.08,85.0,13.0,0.08,35.0,35.0,108.49999998034261,2.11934633819967,0.30431689862899136,13.0,24.0,85.0,0.4918351017421499,39.83941868641907,3.5892728116421444,1.2429790857753706,0.9851107273807637,1.216146216835423
0.08,85.0,14.0,0.08,35.0,35.0,108.49999980225391,2.060985566678926,0.2997855646423462,14.0,24.0,85.0,0.49223558929804667,39.60203168215586,3.6132402588361336,1.2301098717204546,0.9851618333140336,1.226430107751682
0.08,85.0,15.0,0.08,35.0,35.0,108.49999978508579,2.006448266685281,0.29528847197655395,15.0,24.0,85.0,0.49259253038918566,39.38336414514095,3.6359009482651725,1.21763582869492,0.985210111119026,1.2368997656396425
0.08,86.0,5.0,0.08,35.0,35.0,108.49999981227633,2.647384372304541,0.3308435327395983,5.0,24.0,86.0,0.48699101793741445,42.126440101430234,3.368982276183328,1.366397647369783,0.9847419675809795,1.0611037224779751
